code,type,fact,unit
code,TEXT,0,
name,TEXT,0,
scie,TEXT,0,
lang,TEXT,0,
grup,TEXT,0,
regn,INT,0,
tags,TEXT,0,
fatce,REAL,0,g
protcnt,REAL,0,g
choavldf,REAL,0,g
fibtg,REAL,0,g
fibins,REAL,0,g
fibsol,REAL,0,g
ash,REAL,0,g
water,REAL,-3,
enerc,REAL,0,kJ
cholc,REAL,0,g
fasat,REAL,0,g
fauns,REAL,0,g
fams,REAL,0,g
fapu,REAL,0,g
faess,REAL,0,g
famscis,REAL,0,g
facn3,REAL,0,g
facn6,REAL,0,g
facn9,REAL,0,g
fatrn,REAL,0,g
amiac,REAL,-3,
amiace,REAL,-3,
amiacce,REAL,0,g
amiacne,REAL,-3,
cho,REAL,0,g
starch,REAL,0,g
olsac,REAL,0,g
fsugar,REAL,0,g
vit,REAL,0,g
vita,REAL,3,mg
vitb,REAL,0,g
vitc,REAL,3,mg
vitd,REAL,6,ug
vite,REAL,3,mg
vitk,REAL,3,mg
tocph,REAL,3,mg
toctr,REAL,3,mg
cartoid,REAL,3,mg
polyph,REAL,0,g
phystr,REAL,0,g
mnrleq,REAL,0,g
mnrlet,REAL,3,mg
mnrlpet,REAL,3,mg
mnrlnet,REAL,3,mg
mnrltx,REAL,6,ug
orgac,REAL,0,g
phytac,REAL,0,g
sapon,REAL,0,g
retol,REAL,3,mg
thia,REAL,3,mg
ribf,REAL,3,mg
nia,REAL,3,mg
pantac,REAL,3,mg
vitb6c,REAL,3,mg
biot,REAL,3,mg
folsum,REAL,3,mg
ergcal,REAL,6,ug
chocal,REAL,6,ug
doh25,REAL,6,ug
tocpha,REAL,3,mg
tocphb,REAL,3,mg
tocphg,REAL,3,mg
tocphd,REAL,3,mg
toctra,REAL,3,mg
toctrb,REAL,3,mg
toctrg,REAL,3,mg
toctrd,REAL,3,mg
vitk1,REAL,3,mg
vitk2,REAL,6,ug
lutn,REAL,3,mg
zea,REAL,3,mg
lycpn,REAL,3,mg
crypxb,REAL,3,mg
cartg,REAL,6,ug
carta,REAL,3,mg
cartb,REAL,3,mg
al,REAL,3,mg
as,REAL,6,ug
cd,REAL,3,mg
ca,REAL,0,g
cr,REAL,6,ug
co,REAL,6,ug
cu,REAL,3,mg
fe,REAL,3,mg
pb,REAL,3,mg
li,REAL,3,mg
mg,REAL,0,g
mn,REAL,3,mg
hg,REAL,6,ug
mo,REAL,3,mg
ni,REAL,3,mg
p,REAL,0,g
k,REAL,0,g
se,REAL,6,ug
na,REAL,0,g
zn,REAL,3,mg
frus,REAL,0,g
glus,REAL,0,g
sucs,REAL,0,g
mals,REAL,0,g
lactose,REAL,0,g
f4d0,REAL,0,g
f6d0,REAL,0,g
f8d0,REAL,0,g
f10d0,REAL,0,g
f12d0,REAL,0,g
f14d0,REAL,0,g
f16d0,REAL,0,g
f18d0,REAL,0,g
f20d0,REAL,0,g
f22d0,REAL,0,g
f24d0,REAL,3,mg
f14d1cn5,REAL,0,g
f16d1cn7,REAL,0,g
f18d1cn9,REAL,0,g
f18d1tn9,REAL,0,g
f20d1cn9,REAL,0,g
f22d1cn9,REAL,0,g
f24d1cn9,REAL,3,mg
f18d2cn6,REAL,0,g
f20d2n6,REAL,3,mg
f18d3n3,REAL,0,g
f20d4n6,REAL,0,g
f11d0,REAL,3,mg
f15d0,REAL,3,mg
f20d3n6,REAL,3,mg
f20d5n3,REAL,0,g
f22d6n3,REAL,0,g
f22d2n6,REAL,0,g
f22d5n3,REAL,0,g
his,REAL,0,g
ile,REAL,0,g
leu,REAL,0,g
lys,REAL,0,g
met,REAL,0,g
cys,REAL,0,g
phe,REAL,0,g
thr,REAL,0,g
trp,REAL,0,g
val,REAL,0,g
ala,REAL,0,g
arg,REAL,0,g
asp,REAL,0,g
glu,REAL,0,g
gly,REAL,0,g
pro,REAL,0,g
ser,REAL,0,g
tyr,REAL,0,g
oxalt,REAL,0,g
oxals,REAL,0,g
oxali,REAL,0,g
caconac,REAL,3,mg
citac,REAL,0,g
fumac,REAL,3,mg
malac,REAL,0,g
quinac,REAL,0,g
sucac,REAL,0,g
tarac,REAL,0,g
dhbenzac34,REAL,3,mg
hbenzal3,REAL,3,mg
pcathac,REAL,3,mg
vanlac,REAL,3,mg
gallac,REAL,3,mg
cinmac,REAL,3,mg
coumaco,REAL,3,mg
coumacp,REAL,3,mg
caffac,REAL,3,mg
chlrac,REAL,3,mg
ferac,REAL,3,mg
apigen,REAL,3,mg
apigen6cgls,REAL,3,mg
apigen7onshps,REAL,3,mg
luteol,REAL,3,mg
kaemf,REAL,3,mg
querce,REAL,3,mg
querce3bdgls,REAL,3,mg
querce3ortns,REAL,3,mg
querce3bgls,REAL,3,mg
isormt,REAL,3,mg
myrct,REAL,3,mg
rsvrtol,REAL,3,mg
hespt,REAL,3,mg
narng,REAL,3,mg
hespd,REAL,3,mg
daidzn,REAL,3,mg
gnstein,REAL,3,mg
epicatec,REAL,3,mg
epicategc,REAL,3,mg
epicatgc3gal,REAL,3,mg
catec,REAL,3,mg
galcatecgal,REAL,3,mg
galcatec,REAL,3,mg
syrgac,REAL,3,mg
sinpac,REAL,3,mg
ellgac,REAL,3,mg
rafs,REAL,0,g
stas,REAL,0,g
vers,REAL,0,g
ajgs,REAL,0,g
camt,REAL,3,mg
stgstr,REAL,3,mg
stostrb,REAL,0,g
carot,REAL,3,mg
xantp,REAL,3,mg
cartbeq,REAL,3,mg
